TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED,DIVIDEND SCORE
REACH.OL,Reach Subsea ASA,https://reachsubsea.no,Oil & Gas Equipment & Services,Energy,4.41,NOK,0,4.0
SADG.OL,Sandnes Sparebank,https://www.dengulebanken.no,Banks—Regional,Financial Services,93.4,NOK,0,7.0
SATS.OL,Sats ASA,https://www.satsgroup.com,Leisure,Consumer Cyclical,18.96,NOK,0,0.0
SCATC.OL,Scatec ASA,https://scatec.com,Utilities—Renewable,Utilities,77.8,NOK,0,4.0122
SCHA.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,321.5,NOK,0,4.0086
SCHB.OL,Schibsted ASA,https://www.schibsted.com,Publishing,Communication Services,302.2,NOK,0,4.0
SDSD.OL,S.D. Standard ETC Plc,https://www.standard-etc.com,Oil & Gas Equipment & Services,Energy,1.686,NOK,0,0.0
SBX.OL,SeaBird Exploration Plc,https://www.sbexp.com,Oil & Gas Equipment & Services,Energy,4.65,NOK,0,0.0
SBO.OL,Selvaag Bolig ASA,https://www.selvaagboligasa.no,Real Estate Services,Real Estate,32.0,NOK,0,4.1018
SIOFF.OL,Siem Offshore Inc.,https://www.siemoffshore.com,Oil & Gas Equipment & Services,Energy,25.3,NOK,0,0.0
SOFF.OL,Solstad Offshore ASA,https://www.solstad.com,Marine Shipping,Industrials,36.14,NOK,0,0.0658
NONG.OL,SpareBank 1 Nord-Norge,https://www.sparebank1.no,Banks—Regional,Financial Services,105.0,NOK,0,7.0586
MING.OL,SpareBank 1 SMN,https://www.sparebank1.no/nb/smn,Banks—Regional,Financial Services,144.8,NOK,0,8.0511
SOAG.OL,SpareBank 1 Østfold Akershus,https://www.sparebank1.no/nb/ostfold-akershus/privat.html,Banks—Regional,Financial Services,332.0,NOK,0,5.0456
SPOL.OL,SpareBank 1 Østlandet,https://www.sparebank1.no/en/ostlandet/personal.html,Banks—Regional,Financial Services,124.6,NOK,0,5.0434
SOR.OL,Sparebanken Sør,https://www.sor.no,Banks—Regional,Financial Services,147.0,NOK,0,7.0717
SVEG.OL,Sparebanken Vest,https://www.spv.no,Banks—Regional,Financial Services,111.0,NOK,0,5.0453
SPOG.OL,Sparebanken Øst,https://www.oest.no,Banks—Regional,Financial Services,53.4,NOK,0,1.0811
STB.OL,Storebrand ASA,https://www.storebrand.no,Financial Conglomerates,Financial Services,97.22,NOK,0,5.0536
SUBC.OL,Subsea 7 S.A.,https://www.subsea7.com,Oil & Gas Equipment & Services,Energy,150.8,NOK,0,9.0
TEL.OL,Telenor ASA,https://www.telenor.com,Telecom Services,Communication Services,121.0,NOK,0,2.0655
TOM.OL,Tomra Systems ASA,https://www.tomra.com,Waste Management,Industrials,108.45,NOK,0,5.014
VEI.OL,Veidekke ASA,https://veidekke.com,Engineering & Construction,Industrials,97.5,NOK,0,4.045
VVL.OL,Voss Veksel- og Landmandsbank ASA,https://vekselbanken.no,Banks—Regional,Financial Services,256.0,NOK,0,1.0432
WWI.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,367.0,NOK,0,8.0232
WWIB.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,357.0,NOK,0,8.0249
XXL.OL,XXL ASA,https://www.xxlasa.com,Specialty Retail,Consumer Cyclical,1.164,NOK,0,0.0
YAR.OL,Yara International ASA,https://www.yara.com,Agricultural Inputs,Basic Materials,353.0,NOK,0,8.0534
ZAL.OL,Zalaris ASA,https://www.zalaris.com,Staffing & Employment Services,Industrials,50.0,NOK,0,1.0
