TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,CRITERIA PASSED
SOFF.OL,Solstad Offshore ASA,https://www.solstad.com,Marine Shipping,Industrials,0
NONG.OL,SpareBank 1 Nord-Norge,https://www.sparebank1.no,Banks—Regional,Financial Services,0
RING.OL,SpareBank 1 Ringerike Hadeland,https://www.sparebank1.no/ringerike-hadeland,Banks—Regional,Financial Services,0
MING.OL,SpareBank 1 SMN,https://www.sparebank1.no/nb/smn,Banks—Regional,Financial Services,0
SOAG.OL,SpareBank 1 Østfold Akershus,https://www.sparebank1.no/nb/ostfold-akershus/privat.html,Banks—Regional,Financial Services,0
SPOL.OL,SpareBank 1 Østlandet,https://www.sparebank1.no/en/ostlandet/personal.html,Banks—Regional,Financial Services,0
MORG.OL,Sparebanken Møre,https://www.sbm.no,Banks—Regional,Financial Services,0
SOR.OL,Sparebanken Sør,https://www.sor.no,Banks—Regional,Financial Services,0
SVEG.OL,Sparebanken Vest,https://www.spv.no,Banks—Regional,Financial Services,0
SPOG.OL,Sparebanken Øst,https://www.oest.no,Banks—Regional,Financial Services,0
STB.OL,Storebrand ASA,https://www.storebrand.no,Financial Conglomerates,Financial Services,0
SUBC.OL,Subsea 7 S.A.,https://www.subsea7.com,Oil & Gas Equipment & Services,Energy,0
TEL.OL,Telenor ASA,https://www.telenor.com,Telecom Services,Communication Services,0
TGS.OL,TGS ASA,https://www.tgs.com,Oil & Gas Equipment & Services,Energy,0
TOM.OL,Tomra Systems ASA,https://www.tomra.com,Waste Management,Industrials,0
TOTG.OL,Totens Sparebank,https://www.totenbanken.no,Banks—Regional,Financial Services,0
VEI.OL,Veidekke ASA,https://veidekke.com,Engineering & Construction,Industrials,0
VVL.OL,Voss Veksel- og Landmandsbank ASA,https://vekselbanken.no,Banks—Regional,Financial Services,0
WSTEP.OL,Webstep ASA,https://www.webstep.com,Information Technology Services,Technology,0
WWI.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,0
WWIB.OL,Wilh. Wilhelmsen Holding ASA,https://www.wilhelmsen.com,Marine Shipping,Industrials,0
XXL.OL,XXL ASA,https://www.xxlasa.com,Specialty Retail,Consumer Cyclical,0
YAR.OL,Yara International ASA,https://www.yara.com,Agricultural Inputs,Basic Materials,0
ZAL.OL,Zalaris ASA,https://www.zalaris.com,Staffing & Employment Services,Industrials,0
