TICKER,COMPANY,WEBSITE,INDUSTRY,SECTOR,PRICE,CURRENCY,CRITERIA PASSED
CARR,Carrier Global Corporation,https://www.corporate.carrier.com,Building Products & Equipment,Industrials,57.64,USD,0
CTLT,"Catalent, Inc.",https://www.catalent.com,Drug Manufacturers - Specialty & Generic,Healthcare,45.54,USD,0
CAT,Caterpillar Inc.,https://www.caterpillar.com,Farm & Heavy Construction Machinery,Industrials,296.88,USD,0
CBOE,"Cboe Global Markets, Inc.",https://www.cboe.com,Financial Data & Stock Exchanges,Financial Services,177.84,USD,0
CBRE,"CBRE Group, Inc.",https://www.cbre.com,Real Estate Services,Real Estate,93.82,USD,0
CDW,CDW Corporation,https://www.cdw.com,Information Technology Services,Technology,228.7,USD,0
CE,Celanese Corporation,https://www.celanese.com,Chemicals,Basic Materials,157.33,USD,0
COR,"Cencora, Inc.",https://www.cencora.com,Medical Distribution,Healthcare,203.49,USD,0
CNP,"CenterPoint Energy, Inc.",https://www.centerpointenergy.com,Utilities - Regulated Electric,Utilities,28.56,USD,0
CDAY,Ceridian HCM Holding Inc.,https://www.ceridian.com,Software - Application,Technology,67.99,USD,0
CF,"CF Industries Holdings, Inc.",https://www.cfindustries.com,Agricultural Inputs,Basic Materials,79.66,USD,0
CHRW,"C.H. Robinson Worldwide, Inc.",https://www.chrobinson.com,Integrated Freight & Logistics,Industrials,86.89,USD,0
SCHW,The Charles Schwab Corporation,https://www.schwab.com,Capital Markets,Financial Services,69.55,USD,0
CHTR,"Charter Communications, Inc.",https://corporate.charter.com,Telecom Services,Communication Services,392.39,USD,0
CVX,Chevron Corporation,https://www.chevron.com,Oil & Gas Integrated,Energy,149.77,USD,0
CMG,"Chipotle Mexican Grill, Inc.",https://www.chipotle.com,Restaurants,Consumer Cyclical,2278.38,USD,0
CB,Chubb Limited,https://www.chubb.com/us-en,Insurance—Property & Casualty,Financial Services,224.43,USD,0
